chr	start	end	maxint	Rbound.end	Rbound.start	Lbound.end	Lbound.start
chr22	17425000	17545000	15410.3444550878	17590000	17545000	17425000	1e+05
chr22	17555000	18005000	14512.2341237596	18055000	18005000	17555000	17505000
chr22	18030000	18660000	15595.3757994388	18800000	18660000	18030000	17955000
chr22	18880000	19655000	12655.776195938	19735000	19655000	18880000	18640000
chr22	19715000	19920000	15141.689839217	19965000	19920000	19715000	19605000
chr22	19945000	20110000	13835.7282851277	20150000	20110000	19945000	19875000
chr22	20130000	20320000	16236.7293870559	20380000	20320000	20130000	20090000
chr22	20715000	21145000	16915.0289847175	21285000	21145000	20715000	20710000
chr22	21215000	21360000	13223.9059397792	22115000	21360000	21215000	21040000
chr22	22030000	22305000	15995.0096393173	22390000	22305000	22030000	21990000
chr22	22385000	22550000	14780.9510475744	22575000	22550000	22385000	22250000
chr22	22800000	22920000	15424.339776925	22945000	22920000	22800000	22205000
chr22	23305000	23475000	14941.9018761092	23515000	23475000	23305000	23285000
chr22	23495000	23635000	15391.5568334464	23670000	23635000	23495000	23435000
chr22	23640000	23745000	11448.4390230624	23790000	23745000	23640000	23615000
chr22	23755000	23855000	11724.0620133655	23985000	23855000	23755000	23605000
chr22	24050000	24205000	14627.3795463482	24375000	24205000	24050000	23605000
chr22	24575000	24665000	12656.6239899215	24700000	24665000	24575000	24525000
chr22	24695000	24950000	17524.5897601173	25055000	24950000	24695000	24625000
chr22	25050000	25260000	14563.7616687815	25670000	25260000	25050000	24905000
chr22	25600000	25735000	11566.8304555554	25800000	25735000	25600000	25550000
chr22	25750000	26170000	15886.2949626063	26230000	26170000	25750000	25705000
chr22	26240000	26745000	10721.12048638	26770000	26745000	26240000	26090000
chr22	26760000	27065000	17131.5468593461	27095000	27065000	26760000	26670000
chr22	27130000	28190000	10047.4692639516	28275000	28190000	27130000	27030000
chr22	28255000	28410000	11573.2146250848	28455000	28410000	28255000	28180000
chr22	28485000	28955000	10327.1768927658	29030000	28955000	28485000	28370000
chr22	28990000	29665000	14638.8090799657	29685000	29665000	28990000	28930000
chr22	29670000	30650000	13774.2394295411	30685000	30650000	29670000	29625000
chr22	30670000	30785000	15558.7279136436	31050000	30785000	30670000	30615000
chr22	30900000	31715000	14853.2434031969	31815000	31715000	30900000	30760000
chr22	31790000	32365000	15312.2126821465	32385000	32365000	31790000	31645000
chr22	32370000	32890000	11182.699542002	33105000	32890000	32370000	32340000
chr22	32915000	33400000	9860.67040640856	33455000	33400000	32915000	32865000
chr22	33410000	34325000	12076.9572261458	34355000	34325000	33410000	33345000
chr22	35430000	35545000	13085.0053095551	35710000	35545000	35430000	35315000
chr22	35550000	35635000	8382.45253189956	35660000	35635000	35550000	35535000
chr22	35705000	36925000	18918.3271189244	36960000	36925000	35705000	35515000
chr22	36935000	37145000	12791.3755974759	37230000	37145000	36935000	36895000
chr22	37175000	37375000	15537.4312587353	37475000	37375000	37175000	37100000
chr22	37450000	37615000	15334.5074386024	37740000	37615000	37450000	37355000
chr22	37660000	38000000	15996.0707836768	38015000	3.8e+07	37660000	37620000
chr22	38005000	38375000	14549.0435230941	38495000	38375000	38005000	37970000
chr22	38405000	39080000	14665.3742243534	39170000	39080000	38405000	38330000
chr22	39145000	39730000	17856.9707872358	39760000	39730000	39145000	38945000
chr22	39770000	39930000	14402.2780430041	39950000	39930000	39770000	39675000
chr22	39935000	40425000	15233.7399618622	40455000	40425000	39935000	39910000
chr22	40440000	40750000	13873.8856337015	40800000	40750000	40440000	40400000
chr22	40810000	41300000	18534.7032860872	41360000	41300000	40810000	40695000
chr22	41305000	41680000	16542.4820715839	41805000	41680000	41305000	41245000
chr22	41700000	41775000	11714.7676904408	41800000	41775000	41700000	41585000
chr22	41785000	41930000	19855.8057687947	42110000	41930000	41785000	41580000
chr22	41940000	42015000	11896.644969264	42100000	42015000	41940000	41915000
chr22	42075000	42345000	16960.6176061091	42370000	42345000	42075000	41990000
chr22	42350000	42895000	17170.691473418	43070000	42895000	42350000	42330000
chr22	42900000	43555000	16445.7054155627	43655000	43555000	42900000	42800000
chr22	43600000	44315000	14594.4879051913	44385000	44315000	43600000	43530000
chr22	44345000	45150000	15309.7306384194	45255000	45150000	44345000	44255000
chr22	45210000	45505000	11115.011339137	45550000	45505000	45210000	44930000
chr22	45555000	45870000	13861.1577389915	46080000	45870000	45555000	45440000
chr22	46040000	46250000	15091.8831387871	46415000	46250000	46040000	45940000
chr22	46265000	46375000	10010.4632912866	46395000	46375000	46265000	46215000
chr22	46385000	46730000	14658.7838844685	46775000	46730000	46385000	46340000
chr22	46750000	46945000	14481.138991887	46970000	46945000	46750000	46700000
chr22	46955000	47210000	12779.0602991344	48460000	47210000	46955000	46920000
chr22	48230000	48645000	10866.0499198717	49215000	48645000	48230000	48110000
chr22	48935000	49695000	11201.0011566942	49910000	49695000	48935000	48800000
chr22	50190000	50315000	13940.1856327309	50340000	50315000	50190000	49380000
chr22	50585000	51070000	18185.2336466344	51095000	51070000	50585000	46850000
